STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,ROAD_FNC,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
1.0,10001.0,1.0,1.0,0.0,0.0,0.0,8.0,8.0,115.0,0.0,6.0,1.0,2013.0,1.0,0.0,55.0,1.0,1.0,1.0,I-59,,1589.0,33.79196389,-86.38370278,0.0,42.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,10.0,0.0,10.0,0.0,0000000,99.0,99.0,1.0,7.0,99.0,99.0,0.0,0.0,0.0,2.0,0.0
1.0,10002.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,55.0,1670.0,3.0,1.0,2013.0,5.0,21.0,24.0,1.0,2.0,2.0,US-SR 74,MCCLAIN ST,1397.0,33.98466111,-85.88830556,0.0,12.0,6.0,0.0,2.0,2.0,0.0,1.0,3.0,10.0,0.0,10.0,0.0,0000000,99.0,99.0,21.0,33.0,99.0,99.0,0.0,0.0,0.0,1.0,0.0
1.0,10003.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,89.0,1730.0,6.0,1.0,2013.0,1.0,11.0,45.0,0.0,15.0,6.0,OAKWOOD AVE,,0.0,34.74946667,-86.62147222,0.0,30.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,10.0,0.0,10.0,0.0,0000000,99.0,99.0,11.0,54.0,99.0,99.0,0.0,0.0,0.0,1.0,0.0
1.0,10004.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,73.0,350.0,6.0,1.0,2013.0,1.0,12.0,25.0,0.0,99.0,6.0,JEFFERSON AVE SW,,0.0,33.48591389,-86.85701111,0.0,24.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0000000,99.0,99.0,12.0,33.0,99.0,99.0,0.0,0.0,0.0,2.0,0.0
1.0,10005.0,2.0,2.0,0.0,0.0,0.0,3.0,3.0,125.0,3050.0,6.0,1.0,2013.0,1.0,18.0,28.0,1.0,11.0,1.0,I-359,,10.0,33.16855556,-87.55183056,0.0,12.0,1.0,1.0,18.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0000000,99.0,99.0,18.0,29.0,99.0,99.0,0.0,0.0,0.0,1.0,0.0
1.0,10006.0,2.0,2.0,0.0,0.0,0.0,3.0,3.0,97.0,2100.0,8.0,1.0,2013.0,3.0,14.0,31.0,1.0,13.0,6.0,GOVERNMENT ST,PLEASANT VALLEY ROAD,0.0,30.66167778,-88.10793333,0.0,12.0,6.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0000000,99.0,99.0,14.0,32.0,99.0,99.0,0.0,0.0,0.0,1.0,0.0
1.0,10007.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,95.0,50.0,11.0,1.0,2013.0,6.0,21.0,30.0,0.0,3.0,3.0,SR-205,,95.0,34.27086944,-86.22073056,0.0,34.0,0.0,0.0,1.0,1.0,0.0,4.0,3.0,2.0,0.0,2.0,0.0,0000000,99.0,99.0,21.0,38.0,88.0,88.0,0.0,0.0,0.0,1.0,0.0
1.0,10008.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,49.0,2904.0,14.0,1.0,2013.0,2.0,14.0,49.0,0.0,3.0,3.0,SR-75,,910.0,34.56107222,-85.79985833,0.0,12.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0000000,99.0,99.0,14.0,55.0,99.0,99.0,0.0,0.0,0.0,1.0,0.0
1.0,10009.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,17.0,0.0,5.0,1.0,2013.0,7.0,16.0,21.0,0.0,4.0,4.0,CR-267,,0.0,33.01001944,-85.29138889,0.0,42.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,10.0,0.0,10.0,0.0,0000000,88.0,88.0,88.0,88.0,88.0,88.0,0.0,0.0,0.0,1.0,1.0
1.0,10010.0,2.0,2.0,0.0,0.0,0.0,4.0,4.0,51.0,0.0,5.0,1.0,2013.0,7.0,17.0,34.0,0.0,3.0,3.0,SR-14,CHEROKEE TRAIL,1865.0,32.577275,-85.97061111,0.0,12.0,6.0,0.0,2.0,2.0,0.0,1.0,3.0,10.0,0.0,10.0,0.0,0000000,99.0,99.0,17.0,45.0,88.0,88.0,0.0,0.0,0.0,1.0,0.0
1.0,10011.0,2.0,2.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,5.0,1.0,2013.0,7.0,23.0,29.0,0.0,3.0,2.0,US-SR 31,,2001.0,32.60146111,-86.464275,0.0,12.0,2.0,0.0,1.0,1.0,0.0,1.0,3.0,10.0,0.0,10.0,0.0,0000000,99.0,99.0,23.0,40.0,99.0,99.0,20.0,0.0,0.0,1.0,1.0
